Frequency (Hz)	Level (dB)
2939.282227	-29.612122
2950.048828	-32.089840
2960.815430	-33.739876
2971.582031	-35.163895
2982.348633	-36.151649
2993.115234	-37.075405
3003.881836	-37.802040
3014.648438	-38.225021
3025.415039	-38.479179
3036.181641	-38.685783
3046.948242	-38.558319
3057.714844	-38.824387
3068.481445	-39.085495
3079.248047	-38.792812
3090.014648	-38.749279
3100.781250	-37.834690
3111.547852	-37.264282
3122.314453	-36.277016
3133.081055	-35.354000
3143.847656	-34.282192
3154.614258	-32.954559
3165.380859	-31.257690
3176.147461	-29.408157
3186.914062	-27.285233
3197.680664	-25.406958
3208.447266	-24.989397
3219.213867	-26.498531
3229.980469	-28.671379
3240.747070	-30.386536
3251.513672	-32.226536
3262.280273	-33.481339
3273.046875	-34.595993
3283.813477	-35.461216
3294.580078	-36.386112
3305.346680	-36.990242
3316.113281	-36.990967
3326.879883	-37.468460
3337.646484	-37.628933
3348.413086	-37.657139
3359.179688	-37.488358
3369.946289	-37.245552
3380.712891	-36.994419
3391.479492	-36.637325
3402.246094	-36.323208
3413.012695	-35.706161
3423.779297	-35.164143
3434.545898	-33.636173
3445.312500	-32.738842
3456.079102	-31.246111
3466.845703	-29.087524
3477.612305	-26.802034
3488.378906	-25.609230
3499.145508	-25.324522
3509.912109	-26.334501
3520.678711	-28.253645
3531.445312	-30.149279
3542.211914	-32.041985
3552.978516	-32.949974
3563.745117	-34.083687
3574.511719	-35.384068
3585.278320	-36.034031
3596.044922	-36.636715
3606.811523	-37.112839
3617.578125	-37.400894
3628.344727	-37.789436
3639.111328	-37.569164
3649.877930	-37.445667
3660.644531	-37.498905
3671.411133	-37.437874
3682.177734	-37.410469
3692.944336	-37.012966
3703.710938	-36.300945
3714.477539	-35.625492
3725.244141	-34.451118
3736.010742	-33.099548
3746.777344	-31.823854
3757.543945	-30.224264
3768.310547	-27.853951
3779.077148	-26.128914
3789.843750	-25.785034
3800.610352	-26.914356
3811.376953	-28.672262
3822.143555	-30.742159
3832.910156	-32.627464
3843.676758	-34.203255
3854.443359	-35.309162
3865.209961	-36.185925
3875.976562	-37.169254
3886.743164	-37.708626
3897.509766	-38.009758
3908.276367	-38.717358
3919.042969	-38.685078
3929.809570	-38.678028
3940.576172	-38.722191
3951.342773	-38.786884
3962.109375	-38.091286
3972.875977	-38.158730
3983.642578	-37.624336
3994.409180	-37.066452
4005.175781	-36.387230
4015.942383	-34.904964
4026.708984	-33.781910
4037.475586	-32.609020
4048.242188	-30.845093
4059.008789	-28.848593
4069.775391	-27.249449
4080.541992	-26.490770
4091.308594	-27.500605
4102.075195	-29.438047
4112.841797	-31.768810
4123.608398	-33.619305
4134.375000	-35.222015
4145.141602	-36.480789
4155.908203	-37.071518
4166.674805	-37.622982
4177.441406	-38.165180
4188.208008	-38.769913
4198.974609	-39.541580
4209.741211	-40.016693
4220.507812	-39.821274
4231.274414	-40.233444
4242.041016	-40.145161
4252.807617	-39.720497
4263.574219	-39.225403
4274.340820	-38.982559
4285.107422	-38.712719
4295.874023	-37.595345
4306.640625	-36.558407
4317.407227	-35.181725
4328.173828	-34.074112
4338.940430	-32.067986
4349.707031	-30.904270
4360.473633	-29.414181
4371.240234	-29.061384
4382.006836	-30.876637
4392.773438	-33.063473
4403.540039	-34.902584
4414.306641	-36.673866
4425.073242	-38.296013
4435.839844	-39.481983
4446.606445	-40.628113
4457.373047	-41.392735
4468.139648	-42.104897
4478.906250	-42.830448
4489.672852	-43.199066
4500.439453	-43.601894
4511.206055	-44.427631
4521.972656	-44.522610
4532.739258	-44.519104
4543.505859	-44.088463
4554.272461	-44.073505
4565.039062	-43.915691
4575.805664	-43.424007
