Frequency (Hz)	Level (dB)
2939.282227	-33.893608
2950.048828	-34.595810
2960.815430	-34.500256
2971.582031	-34.610184
2982.348633	-34.096119
2993.115234	-34.003139
3003.881836	-33.702065
3014.648438	-34.012527
3025.415039	-34.369087
3036.181641	-34.308472
3046.948242	-33.731586
3057.714844	-33.891212
3068.481445	-34.085323
3079.248047	-33.568123
3090.014648	-34.129498
3100.781250	-33.428238
3111.547852	-32.811584
3122.314453	-32.454121
3133.081055	-32.508266
3143.847656	-32.255695
3154.614258	-31.751970
3165.380859	-30.850779
3176.147461	-31.725674
3186.914062	-33.253597
3197.680664	-34.049835
3208.447266	-33.544735
3219.213867	-33.494781
3229.980469	-34.192123
3240.747070	-33.968761
3251.513672	-34.530014
3262.280273	-34.266582
3273.046875	-34.402733
3283.813477	-34.037891
3294.580078	-34.708294
3305.346680	-35.060123
3316.113281	-34.124039
3326.879883	-34.040462
3337.646484	-33.997444
3348.413086	-34.206894
3359.179688	-34.277081
3369.946289	-33.780716
3380.712891	-33.511051
3391.479492	-32.879776
3402.246094	-32.822556
3413.012695	-32.981216
3423.779297	-32.969341
3434.545898	-32.417744
3445.312500	-32.796524
3456.079102	-32.776016
3466.845703	-31.675119
3477.612305	-31.486185
3488.378906	-32.127998
3499.145508	-31.903170
3509.912109	-31.669550
3520.678711	-31.914740
3531.445312	-32.272465
3542.211914	-33.128017
3552.978516	-33.585056
3563.745117	-33.780533
3574.511719	-33.613983
3585.278320	-34.332745
3596.044922	-34.808800
3606.811523	-34.807751
3617.578125	-34.605564
3628.344727	-34.836182
3639.111328	-34.347515
3649.877930	-33.612984
3660.644531	-33.697582
3671.411133	-33.625587
3682.177734	-34.243004
3692.944336	-34.975044
3703.710938	-34.806065
3714.477539	-35.028095
3725.244141	-34.717720
3736.010742	-34.156250
3746.777344	-33.479279
3757.543945	-33.827240
3768.310547	-32.929897
3779.077148	-32.958431
3789.843750	-33.159473
3800.610352	-32.638573
3811.376953	-32.248199
3822.143555	-32.371433
3832.910156	-32.134232
3843.676758	-32.910782
3854.443359	-32.878265
3865.209961	-32.738514
3875.976562	-33.543777
3886.743164	-34.547096
3897.509766	-34.629456
3908.276367	-35.250504
3919.042969	-35.306705
3929.809570	-35.153694
3940.576172	-35.247314
3951.342773	-35.043697
3962.109375	-34.650845
3972.875977	-35.092243
3983.642578	-35.426922
3994.409180	-35.788803
4005.175781	-36.232277
4015.942383	-35.897919
4026.708984	-35.560555
4037.475586	-35.600098
4048.242188	-35.788986
4059.008789	-35.648659
4069.775391	-35.126732
4080.541992	-34.661728
4091.308594	-32.900116
4102.075195	-33.070889
4112.841797	-33.503227
4123.608398	-33.616116
4134.375000	-33.519775
4145.141602	-33.509453
4155.908203	-33.340717
4166.674805	-33.090397
4177.441406	-33.450912
4188.208008	-33.640141
4198.974609	-33.907845
4209.741211	-33.351364
4220.507812	-33.511429
4231.274414	-34.531906
4242.041016	-35.091370
4252.807617	-35.095638
4263.574219	-35.208652
4274.340820	-36.410660
4285.107422	-36.743851
4295.874023	-36.640778
4306.640625	-36.347748
4317.407227	-35.816185
4328.173828	-36.804832
4338.940430	-36.936790
4349.707031	-37.636974
4360.473633	-37.532852
4371.240234	-36.920467
4382.006836	-37.425507
4392.773438	-36.277100
4403.540039	-35.991936
4414.306641	-36.706070
4425.073242	-37.201431
4435.839844	-36.881153
4446.606445	-36.479630
4457.373047	-36.403435
4468.139648	-36.997562
4478.906250	-37.241737
4489.672852	-37.307510
4500.439453	-37.356705
4511.206055	-38.439114
4521.972656	-38.879368
4532.739258	-39.058376
4543.505859	-38.162231
4554.272461	-38.302807
4565.039062	-39.149464
4575.805664	-39.722782
4586.572266	-39.880539
4597.338867	-41.273342
4608.105469	-42.255863
4618.872070	-42.737633
4629.638672	-43.558853
4640.405273	-43.726196
4651.171875	-43.843967
4661.938477	-44.836639
4672.705078	-44.823135
4683.471680	-44.617088
4694.238281	-45.139530
4705.004883	-45.760342
4715.771484	-45.985188
4726.538086	-46.377594
4737.304688	-45.824116
4748.071289	-46.392750
4758.837891	-46.675896
4769.604492	-46.622169
4780.371094	-47.701645
4791.137695	-48.087467
4801.904297	-48.980045
4812.670898	-49.355576
4823.437500	-49.886509
4834.204102	-50.787464
4844.970703	-51.178024
4855.737305	-51.491383
4866.503906	-52.112652
4877.270508	-53.206932
4888.037109	-53.980003
4898.803711	-55.276665
4909.570312	-55.829105
4920.336914	-56.861202
4931.103516	-57.883987
4941.870117	-59.116787
4952.636719	-59.725117
4963.403320	-60.609138
4974.169922	-61.588573
4984.936523	-61.996548
4995.703125	-61.479210
5006.469727	-62.134052
5017.236328	-64.152138
5028.002930	-63.610363
5038.769531	-63.047352
5049.536133	-63.890171
5060.302734	-64.203629
5071.069336	-64.875626
5081.835938	-65.454330
5092.602539	-65.353851
5103.369141	-65.378426
5114.135742	-66.299797
5124.902344	-66.708656
5135.668945	-66.408356
5146.435547	-66.447838
5157.202148	-66.607651
5167.968750	-66.625496
