Frequency (Hz)	Level (dB)
2939.282227	-54.174110
2950.048828	-54.497078
2960.815430	-54.359680
2971.582031	-54.673206
2982.348633	-54.368202
2993.115234	-54.472210
3003.881836	-54.244991
3014.648438	-53.893204
3025.415039	-53.553894
3036.181641	-53.289062
3046.948242	-52.776722
3057.714844	-52.992203
3068.481445	-53.372234
3079.248047	-52.790161
3090.014648	-52.957016
3100.781250	-52.081078
3111.547852	-51.669067
3122.314453	-51.195000
3133.081055	-50.990597
3143.847656	-50.678848
3154.614258	-50.222862
3165.380859	-49.653835
3176.147461	-49.460377
3186.914062	-48.943470
3197.680664	-48.186432
3208.447266	-47.239437
3219.213867	-46.913090
3229.980469	-46.112434
3240.747070	-45.140656
3251.513672	-44.920330
3262.280273	-44.015018
3273.046875	-43.452126
3283.813477	-42.633965
3294.580078	-41.926052
3305.346680	-41.064842
3316.113281	-40.086456
3326.879883	-39.676773
3337.646484	-39.478710
3348.413086	-39.588348
3359.179688	-39.840744
3369.946289	-40.257286
3380.712891	-41.085663
3391.479492	-41.872372
3402.246094	-43.068268
3413.012695	-43.755825
3423.779297	-44.750317
3434.545898	-44.905006
3445.312500	-45.630959
3456.079102	-46.485287
3466.845703	-46.823544
3477.612305	-47.049240
3488.378906	-47.893093
3499.145508	-48.724674
3509.912109	-49.044281
3520.678711	-49.245567
3531.445312	-49.535599
3542.211914	-50.073212
3552.978516	-50.006958
3563.745117	-50.161015
3574.511719	-50.445244
3585.278320	-50.790920
3596.044922	-51.122227
3606.811523	-51.249954
3617.578125	-51.267200
3628.344727	-51.648468
3639.111328	-51.687061
3649.877930	-51.701172
3660.644531	-51.828926
3671.411133	-52.171337
3682.177734	-52.588402
3692.944336	-52.793797
3703.710938	-52.593712
3714.477539	-52.742443
3725.244141	-52.685898
3736.010742	-52.515736
3746.777344	-52.505573
3757.543945	-52.909836
3768.310547	-52.656734
3779.077148	-52.635246
3789.843750	-52.616238
3800.610352	-52.445763
3811.376953	-52.376945
3822.143555	-52.302792
3832.910156	-52.291252
3843.676758	-52.485443
3854.443359	-52.416393
3865.209961	-52.108955
3875.976562	-52.016266
3886.743164	-51.623375
3897.509766	-51.521923
3908.276367	-51.654331
3919.042969	-51.290588
3929.809570	-50.879360
3940.576172	-50.588520
3951.342773	-50.376110
3962.109375	-49.589672
3972.875977	-49.786396
3983.642578	-49.403854
3994.409180	-49.379578
4005.175781	-48.896191
4015.942383	-48.199654
4026.708984	-47.762398
4037.475586	-47.559029
4048.242188	-47.293301
4059.008789	-46.529926
4069.775391	-45.991661
4080.541992	-45.256615
4091.308594	-44.168423
4102.075195	-43.636673
4112.841797	-43.068943
4123.608398	-42.483891
4134.375000	-41.802998
4145.141602	-41.043812
4155.908203	-40.344971
